TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_1,AUX_2,AUX_3,AUX_4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,Optics1,Optics2,Optics3,Optics4,Optics5,Optics6,Optics7,Optics8,Optics9,Optics10,Optics11,Optics12,Optics13,Optics14,Optics15,Optics16,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
35:26.9,0.909146,0.6345186,0.53941196,1.1955534,1.0495129,0.20376079,0.27659854,0.7724451,0.7721189,0.8405785,0.3413048,0.574789,0.6087185,0.37916717,0.08615353,0.9038418,0.28330207,0.21461634,0.09723945,0.4101279,764.87213,727.78796,728.85004,762.3939,695.2176,673.53357,656.71735,1212.2719,-0.482177734,0.192504883,0.825256348,-14.94613647,20.239715576171875,4.844970703,6.9114445795484345,6.514715685573278,4.987431514,4.138309610662089,0,0,0,0,0,0,0,0,0,0,0,0,109.02695,1,1,1,1,1,57.37,
35:27.9,1.1442289,0.77893656,0.7860929,1.1917562,1.2493446,0.31413946,0.48420933,0.76347345,0.9123469,0.9258604,0.34000012,0.5069306,0.6550711,0.517612,0.18420692,0.97150636,0.3842298,0.30402657,0.09558513,0.51594186,744.1616,739.38226,746.72833,734.957,769.917,786.7332,780.0067,1303.0795,-0.583312988,0.24017334,0.846130371,-4.515991211,13.63769531,10.519866943359375,6.927527358558043,6.545385881,4.993962282144816,4.157535703216269,0,0,0,0,0,0,0,0,0,0,0,0,110.99787,1,1,1,1,1,57.37,
35:28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
35:28.9,0.970869,0.85552347,1.1765453,0.8100439,1.1444144,0.58496124,0.6197739,0.3740236,0.8819839,0.6918223,0.38579494,0.55660766,0.5893613,0.21381992,0.22063926,0.3921547,0.27814224,-0.42093763,-0.32787052,0.4338006,734.60297,734.957,735.3995,745.75476,728.05347,724.69025,712.2108,1256.348,-0.509521484,0.165222168,0.807434082,5.166473388671875,-3.858032227,0.299072266,6.9869146222254015,6.602362253534559,5.056035095248313,4.213230336408936,0,0,0,0,0,0,0,0,0,0,0,0,111.239746,1,1,1,1,1,57.36,
35:29.9,1.0904845,0.7047821,0.64849305,0.8100439,0.67658013,0.3875974,0.23391102,0.3740236,0.76442325,0.385125,0.09470069,0.55660766,0.39835468,-0.10403154,-0.06257877,0.3921547,0.17234582,-0.70394963,-0.38010576,0.4338006,675.21515,734.77997,729.29254,680.3485,791.3355,804.16895,808.06323,1329.6313,-0.431518555,0.043334961,0.926269531,-18.10882568,-8.045043945,-7.050628662,6.975440001907351,6.579931812221348,5.037175213980879,4.185703454688506,0,0,0,0,0,0,0,0,0,0,0,0,109.56305,1,1,1,1,1,57.36,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
